Respondent,OpenSource,Hobby,ConvertedSalary,CommunicationTools,LanguageWorkedWith,OperatingSystem,CompanySize,Country
Respondente_25,Yes,Yes,571200.0,Google Hangouts/Chat,CoffeeScript,MacOS,10 to 19 employees,United States
Respondente_26,Yes,Yes,0.0,nan,JavaScript,Windows,,India
Respondente_27,No,Yes,0.0,nan,JavaScript,Windows,20 to 99 employees,Romania
Respondente_28,Yes,Yes,201600.0,Office / productivity suite ,Java,MacOS,500 to 999 employees,Kenya
Respondente_29,Yes,Yes,4031999.9999999995,Office / productivity suite ,JavaScript,Linux-based,,United States
Respondente_30,Yes,Yes,189168.0,Confluence,C#,Windows,500 to 999 employees,Portugal
Respondente_31,No,Yes,0.0,nan,C#,Windows,,"Iran, Islamic Republic of..."
Respondente_32,No,Yes,205632.0,Confluence,Java,Windows,20 to 99 employees,Belgium
Respondente_33,No,Yes,274148.0,Slack,Java,MacOS,20 to 99 employees,France
Respondente_34,Yes,Yes,256692.8,Slack,Java,MacOS,Fewer than 10 employees,United Kingdom
Respondente_35,No,Yes,445491.19999999995,Confluence,Erlang,MacOS,20 to 99 employees,Germany
Respondente_36,No,Yes,0.0,nan,Matlab,Windows,,Andorra
Respondente_37,No,Yes,14783.999999999998,Other wiki tool ,C#,Windows,10 to 19 employees,Netherlands
Respondente_38,No,Yes,240105.59999999998,Jira,Clojure,MacOS,500 to 999 employees,Hungary
Respondente_39,No,Yes,52348.799999999996,nan,C,Windows,100 to 499 employees,China
Respondente_40,No,No,335888.0,Confluence,C#,Windows,100 to 499 employees,Australia
Respondente_41,Yes,Yes,0.0,Facebook,C,Windows,20 to 99 employees,India
Respondente_42,No,No,29164.8,Google Hangouts/Chat,C,Linux-based,100 to 499 employees,Brazil
Respondente_43,Yes,Yes,0.0,nan,Java,MacOS,20 to 99 employees,India
Respondente_44,No,Yes,0.0,nan,nan,,"10,000 or more employees",Canada
Respondente_45,No,Yes,40454.399999999994,Facebook,C#,Windows,100 to 499 employees,Bangladesh
Respondente_46,Yes,Yes,123384.79999999999,Slack,JavaScript,MacOS,100 to 499 employees,Taiwan
Respondente_47,Yes,Yes,668438.3999999999,Google Hangouts/Chat,Java,MacOS,20 to 99 employees,Israel
Respondente_48,Yes,Yes,466054.39999999997,Confluence,C#,Windows,"1,000 to 4,999 employees",Germany
Respondente_49,Yes,Yes,322123.19999999995,Slack,CoffeeScript,MacOS,100 to 499 employees,Spain
Respondente_50,No,No,291104.8,Confluence,C#,Windows,"1,000 to 4,999 employees",Australia
Respondente_51,Yes,Yes,347200.0,Confluence,Java,Windows,"10,000 or more employees",United States
Respondente_52,Yes,Yes,41126.399999999994,nan,Java,Windows,Fewer than 10 employees,Italy
Respondente_53,No,Yes,432320.0,Confluence,C#,Windows,20 to 99 employees,United States
Respondente_54,No,Yes,132238.4,Other chat system ,C#,Windows,20 to 99 employees,United Kingdom
Respondente_55,No,No,109334.4,Slack,Swift,,10 to 19 employees,Pakistan
Respondente_56,No,No,0.0,nan,C++,Windows,,United States
Respondente_57,No,Yes,0.0,nan,Assembly,Linux-based,,"Venezuela, Bolivarian Republic of..."
Respondente_58,No,Yes,293098.39999999997,Jira,C++,MacOS,20 to 99 employees,Canada
Respondente_59,No,Yes,470243.19999999995,Confluence,C#,Windows,Fewer than 10 employees,Australia
Respondente_60,No,Yes,142867.19999999998,Office / productivity suite ,Java,BSD/Unix,20 to 99 employees,France
Respondente_61,No,No,784000.0,Google Hangouts/Chat,Go,MacOS,"10,000 or more employees",United States
Respondente_62,Yes,Yes,744800.0,Confluence,C++,Linux-based,100 to 499 employees,United States
Respondente_63,No,Yes,0.0,nan,Assembly,,,Mexico
Respondente_64,No,Yes,0.0,nan,nan,,,United States
Respondente_65,Yes,No,0.0,Google Hangouts/Chat,C,Linux-based,,United States
Respondente_66,Yes,Yes,0.0,nan,nan,,,India
Respondente_67,Yes,Yes,1400000.0,Confluence,C++,MacOS,"1,000 to 4,999 employees",United States
Respondente_68,Yes,No,370070.39999999997,Facebook,JavaScript,MacOS,"10,000 or more employees",Germany
Respondente_69,Yes,Yes,544504.7999999999,Google Hangouts/Chat,JavaScript,Linux-based,20 to 99 employees,United Kingdom
Respondente_70,Yes,Yes,376952.8,Jira,CoffeeScript,MacOS,20 to 99 employees,Netherlands
Respondente_71,No,Yes,215040.0,Confluence,C++,Windows,100 to 499 employees,Lebanon
Respondente_72,No,No,0.0,nan,Assembly,Windows,,United Kingdom
Respondente_73,No,No,0.0,nan,nan,,,Malaysia
Respondente_74,Yes,Yes,345408.0,Other wiki tool ,C,Windows,10 to 19 employees,Germany
Respondente_75,No,Yes,50405.6,Office / productivity suite ,C#,Windows,"10,000 or more employees",India
Respondente_76,No,Yes,230563.19999999998,Office / productivity suite ,C#,Windows,500 to 999 employees,Brazil
Respondente_77,Yes,Yes,0.0,Slack,C#,MacOS,20 to 99 employees,Sweden
Respondente_78,Yes,Yes,287856.8,nan,JavaScript,Linux-based,100 to 499 employees,Germany
Respondente_79,No,Yes,0.0,Slack,R,Linux-based,10 to 19 employees,Germany
Respondente_80,No,Yes,0.0,nan,Python,Linux-based,"10,000 or more employees",Germany
Respondente_81,Yes,Yes,3536534.4,Office / productivity suite ,C,Windows,"5,000 to 9,999 employees",France
Respondente_82,Yes,Yes,157785.59999999998,nan,Assembly,MacOS,,India
Respondente_83,No,Yes,0.0,Office / productivity suite ,JavaScript,MacOS,"1,000 to 4,999 employees",India
Respondente_84,Yes,Yes,0.0,nan,Go,Linux-based,,United Kingdom
Respondente_85,Yes,Yes,0.0,nan,nan,,,Poland
Respondente_86,No,No,0.0,nan,C,Linux-based,,India
Respondente_87,Yes,Yes,233027.19999999998,HipChat,C#,Windows,Fewer than 10 employees,Portugal
Respondente_88,Yes,Yes,979999.9999999999,Confluence,Python,Linux-based,"10,000 or more employees",United States
Respondente_89,No,No,33801.6,nan,nan,,"1,000 to 4,999 employees",India
Respondente_90,Yes,Yes,0.0,Confluence,C++,Windows,"10,000 or more employees",United Kingdom
Respondente_91,No,Yes,73651.2,Other wiki tool ,JavaScript,Windows,"5,000 to 9,999 employees",India
Respondente_92,Yes,Yes,0.0,nan,nan,,,Canada
Respondente_93,Yes,Yes,0.0,nan,C++,Windows,,Canada
Respondente_94,No,No,336000.0,Confluence,C#,MacOS,10 to 19 employees,United States
Respondente_95,Yes,Yes,806400.0,Office / productivity suite ,C,Linux-based,"10,000 or more employees",United States
Respondente_96,No,Yes,0.0,nan,nan,,,Germany
Respondente_97,No,Yes,0.0,nan,Groovy,MacOS,,United Kingdom
Respondente_98,No,Yes,204220.8,Office / productivity suite ,C++,Windows,Fewer than 10 employees,Australia
Respondente_99,Yes,Yes,0.0,Confluence,Assembly,MacOS,"5,000 to 9,999 employees",Norway
Respondente_100,No,Yes,0.0,nan,nan,,,Germany
Respondente_101,Yes,Yes,69081.59999999999,nan,C#,Windows,Fewer than 10 employees,Greece
Respondente_102,No,Yes,0.0,nan,nan,,10 to 19 employees,France
Respondente_103,Yes,Yes,329011.19999999995,Google Hangouts/Chat,Go,Linux-based,,Germany
Respondente_104,Yes,Yes,5133878.399999999,Jira,Go,MacOS,20 to 99 employees,United Kingdom
Respondente_105,No,No,0.0,nan,Java,Windows,500 to 999 employees,Poland
Respondente_106,No,Yes,352800.0,Confluence,C++,MacOS,500 to 999 employees,United States
Respondente_107,No,Yes,0.0,nan,JavaScript,Windows,,United Kingdom
Respondente_108,Yes,Yes,274148.0,Slack,JavaScript,MacOS,Fewer than 10 employees,Ireland
Respondente_109,No,Yes,237753.59999999998,Other chat system ,C++,Windows,"5,000 to 9,999 employees",Russian Federation
Respondente_110,Yes,Yes,756000.0,Google Hangouts/Chat,C,MacOS,500 to 999 employees,United States
Respondente_111,Yes,No,140313.59999999998,Confluence,C,Windows,10 to 19 employees,Poland
Respondente_112,No,No,0.0,nan,Assembly,Windows,10 to 19 employees,Viet Nam
Respondente_113,No,Yes,336000.0,Confluence,nan,,100 to 499 employees,United States
Respondente_114,Yes,Yes,293193.6,Slack,C,MacOS,"1,000 to 4,999 employees",China
Respondente_115,Yes,Yes,0.0,nan,nan,,100 to 499 employees,Bulgaria
Respondente_116,Yes,Yes,0.0,Confluence,C#,MacOS,,Romania
Respondente_117,Yes,Yes,678316.7999999999,Slack,C#,Windows,"5,000 to 9,999 employees",Israel
Respondente_118,Yes,Yes,63996.799999999996,Google Hangouts/Chat,Go,Linux-based,20 to 99 employees,India
Respondente_119,No,No,95088.0,Other chat system ,C++,Windows,10 to 19 employees,Russian Federation
Respondente_120,Yes,Yes,0.0,nan,Assembly,,"1,000 to 4,999 employees",Israel
Respondente_121,No,No,237148.8,Confluence,C#,Windows,100 to 499 employees,Poland
Respondente_122,No,Yes,280000.0,Facebook,C#,Windows,100 to 499 employees,United States
Respondente_123,Yes,Yes,0.0,nan,nan,,20 to 99 employees,India
Respondente_124,No,No,381942.39999999997,Confluence,PHP,MacOS,20 to 99 employees,Netherlands
Respondente_125,Yes,Yes,94684.79999999999,Google Hangouts/Chat,JavaScript,Windows,20 to 99 employees,India
Respondente_126,No,Yes,375200.0,Office / productivity suite ,C,Windows,"10,000 or more employees",United States
Respondente_127,No,Yes,5600000.0,Google Hangouts/Chat,CoffeeScript,MacOS,500 to 999 employees,France
Respondente_128,Yes,Yes,308420.0,Slack,Go,MacOS,20 to 99 employees,Portugal
Respondente_129,No,Yes,260915.19999999998,nan,Assembly,Windows,100 to 499 employees,United States
Respondente_130,Yes,Yes,756000.0,Jira,Clojure,MacOS,500 to 999 employees,United States
Respondente_131,Yes,Yes,48182.399999999994,Google Hangouts/Chat,SQL,Windows,10 to 19 employees,Brazil
Respondente_132,No,No,536726.4,Office / productivity suite ,C#,Windows,"10,000 or more employees",United Kingdom
Respondente_133,No,No,0.0,HipChat,JavaScript,Windows,Fewer than 10 employees,Slovenia
Respondente_134,No,No,5600000.0,Slack,C++,Windows,20 to 99 employees,Canada
Respondente_135,No,No,41126.399999999994,Confluence,C,Windows,20 to 99 employees,Bulgaria
Respondente_136,No,Yes,0.0,nan,C,Windows,,United States
Respondente_137,No,Yes,0.0,nan,JavaScript,Windows,,Sweden
Respondente_138,No,No,756000.0,Google Hangouts/Chat,Go,Linux-based,"10,000 or more employees",United States
Respondente_139,Yes,Yes,0.0,nan,C++,,,Netherlands
Respondente_140,No,Yes,219822.4,Office / productivity suite ,Assembly,Windows,20 to 99 employees,Canada
Respondente_141,Yes,Yes,0.0,nan,nan,,20 to 99 employees,India
Respondente_142,Yes,Yes,840000.0,Confluence,C#,Windows,"10,000 or more employees",United States
Respondente_143,No,Yes,492799.99999999994,Office / productivity suite ,C#,Windows,"5,000 to 9,999 employees",United States
Respondente_144,No,Yes,0.0,nan,C#,Windows,100 to 499 employees,Russian Federation
Respondente_145,No,Yes,350039.19999999995,Slack,C#,Windows,500 to 999 employees,United Kingdom
Respondente_146,No,No,644000.0,Office / productivity suite ,C++,Windows,"1,000 to 4,999 employees",United States
Respondente_147,Yes,Yes,308000.0,Office / productivity suite ,Assembly,Windows,500 to 999 employees,United States
Respondente_148,Yes,Yes,856716.0,Facebook,C,Windows,20 to 99 employees,Germany
Respondente_149,Yes,Yes,81984.0,nan,JavaScript,Linux-based,20 to 99 employees,Pakistan
Respondente_150,No,Yes,0.0,nan,nan,,"5,000 to 9,999 employees",India
Respondente_151,Yes,Yes,0.0,Facebook,C,MacOS,,Australia
Respondente_152,Yes,Yes,124319.99999999999,Slack,Java,MacOS,10 to 19 employees,Indonesia
Respondente_153,No,Yes,364000.0,Jira,C,Windows,"1,000 to 4,999 employees",United States
Respondente_154,No,Yes,85948.79999999999,Confluence,Java,Linux-based,20 to 99 employees,India
Respondente_155,No,No,219318.4,Confluence,JavaScript,Linux-based,20 to 99 employees,France
Respondente_156,No,Yes,183405.59999999998,Google Hangouts/Chat,Java,Windows,"10,000 or more employees",Brazil
Respondente_157,Yes,Yes,157796.8,Confluence,Java,Linux-based,"10,000 or more employees",India
Respondente_158,Yes,Yes,840000.0,Slack,C,MacOS,"1,000 to 4,999 employees",United States
Respondente_159,No,No,0.0,Confluence,JavaScript,Linux-based,100 to 499 employees,Latvia
Respondente_160,No,Yes,67200.0,Jira,C#,Windows,Fewer than 10 employees,Belarus
Respondente_161,No,Yes,0.0,nan,nan,,,India
Respondente_162,Yes,Yes,0.0,nan,Java,Windows,20 to 99 employees,Italy
Respondente_163,Yes,Yes,0.0,Other chat system ,C#,Windows,,Russian Federation
Respondente_164,No,No,4233.599999999999,nan,Matlab,Windows,,India
Respondente_165,Yes,Yes,105168.0,Google Hangouts/Chat,C#,Windows,,India
Respondente_166,No,Yes,0.0,nan,nan,,Fewer than 10 employees,Sweden
Respondente_167,No,Yes,378739.19999999995,Facebook,C,Windows,,India
Respondente_168,No,Yes,463511.99999999994,Confluence,C,Linux-based,"5,000 to 9,999 employees",Sweden
Respondente_169,No,Yes,358400.0,Office / productivity suite ,JavaScript,Windows,100 to 499 employees,United States
Respondente_170,Yes,Yes,616828.7999999999,Google Hangouts/Chat,C#,Windows,"1,000 to 4,999 employees",Netherlands
Respondente_171,Yes,Yes,39177.6,Office / productivity suite ,C#,Windows,Fewer than 10 employees,"Iran, Islamic Republic of..."
Respondente_172,Yes,Yes,923999.9999999999,Other chat system ,C,MacOS,10 to 19 employees,United States
Respondente_173,No,Yes,388931.19999999995,Slack,C#,MacOS,100 to 499 employees,United Kingdom
Respondente_174,Yes,No,503999.99999999994,Slack,C,Windows,20 to 99 employees,United States
Respondente_175,Yes,Yes,0.0,nan,C++,Linux-based,,Spain
Respondente_176,Yes,Yes,308000.0,Office / productivity suite ,C#,Windows,"10,000 or more employees",United States
Respondente_177,Yes,Yes,13440.0,Confluence,PHP,Windows,,El Salvador
Respondente_178,No,Yes,537420.7999999999,Jira,JavaScript,Windows,10 to 19 employees,Australia
Respondente_179,No,Yes,0.0,nan,Java,Linux-based,"1,000 to 4,999 employees",United States
Respondente_180,No,Yes,0.0,Jira,C,Windows,20 to 99 employees,Russian Federation
Respondente_181,No,Yes,448000.0,Google Hangouts/Chat,C#,Windows,,United States
Respondente_182,Yes,Yes,212111.19999999998,Confluence,C#,Windows,"10,000 or more employees",Canada
Respondente_183,No,No,24326.399999999998,Facebook,JavaScript,Linux-based,500 to 999 employees,Pakistan
Respondente_184,Yes,Yes,0.0,nan,C,Linux-based,,Costa Rica
Respondente_185,Yes,Yes,2240000.0,Facebook,Go,MacOS,"10,000 or more employees",United States
Respondente_186,Yes,Yes,94348.79999999999,Google Hangouts/Chat,JavaScript,MacOS,,Brazil
Respondente_187,No,Yes,70134.4,Trello,C,Linux-based,500 to 999 employees,India
Respondente_188,Yes,No,108192.0,Other wiki tool ,JavaScript,Linux-based,20 to 99 employees,Russian Federation
Respondente_189,Yes,Yes,437931.19999999995,Confluence,Matlab,MacOS,100 to 499 employees,Switzerland
Respondente_190,No,Yes,0.0,nan,C++,Windows,100 to 499 employees,Denmark
Respondente_191,No,Yes,523067.99999999994,Facebook,JavaScript,Windows,,Canada
Respondente_192,No,Yes,308420.0,Confluence,C#,Windows,"1,000 to 4,999 employees",France
Respondente_193,No,Yes,144009.59999999998,nan,Java,Linux-based,"1,000 to 4,999 employees",Brazil
Respondente_194,Yes,Yes,203884.8,Facebook,Go,MacOS,,Malaysia
Respondente_195,No,Yes,29803.199999999997,Confluence,Java,Windows,"10,000 or more employees",India
Respondente_196,No,Yes,277317.6,Confluence,Java,MacOS,"10,000 or more employees",Canada
Respondente_197,No,Yes,61683.99999999999,Other chat system ,C++,Linux-based,"1,000 to 4,999 employees",Latvia
Respondente_198,No,No,268800.0,Confluence,C,Windows,"1,000 to 4,999 employees",Costa Rica
Respondente_199,No,Yes,225461.59999999998,Google Hangouts/Chat,JavaScript,Windows,,Canada
Respondente_200,No,Yes,605920.0,Jira,Java,Windows,"1,000 to 4,999 employees",United States
Respondente_201,Yes,Yes,168000.0,Facebook,Assembly,Linux-based,,Bangladesh
Respondente_202,Yes,Yes,822460.7999999999,Google Hangouts/Chat,CoffeeScript,MacOS,,Germany
Respondente_203,No,Yes,0.0,nan,C,MacOS,,United States
Respondente_204,No,Yes,233357.59999999998,Confluence,C#,Windows,20 to 99 employees,United Kingdom
Respondente_205,No,Yes,809648.0,Google Hangouts/Chat,JavaScript,MacOS,20 to 99 employees,United States
Respondente_206,Yes,Yes,28022.399999999998,Slack,JavaScript,MacOS,100 to 499 employees,Nigeria
Respondente_207,Yes,No,272249.6,HipChat,JavaScript,MacOS,20 to 99 employees,United Kingdom
Respondente_208,No,Yes,342686.39999999997,Confluence,JavaScript,Linux-based,Fewer than 10 employees,Ireland
Respondente_209,No,Yes,315644.0,Confluence,JavaScript,MacOS,100 to 499 employees,Canada
Respondente_210,Yes,Yes,0.0,Confluence,Go,Linux-based,20 to 99 employees,Brazil
Respondente_211,No,Yes,73315.2,nan,Python,Linux-based,10 to 19 employees,China
Respondente_212,No,No,210806.4,Confluence,Java,MacOS,100 to 499 employees,Czech Republic
Respondente_213,Yes,Yes,699081.6,Office / productivity suite ,C#,Windows,,Austria
Respondente_214,Yes,Yes,127075.2,Office / productivity suite ,C,Windows,10 to 19 employees,Japan
Respondente_215,No,Yes,548800.0,Office / productivity suite ,Java,Windows,"1,000 to 4,999 employees",United States
Respondente_216,No,Yes,178012.8,Office / productivity suite ,Assembly,MacOS,20 to 99 employees,Turkey
Respondente_217,No,No,0.0,nan,Java,MacOS,20 to 99 employees,South Korea
Respondente_218,No,No,503999.99999999994,nan,C#,Windows,500 to 999 employees,United States
Respondente_219,Yes,Yes,740208.0,Google Hangouts/Chat,Go,Windows,"1,000 to 4,999 employees",Madagascar
Respondente_220,No,Yes,336000.0,Google Hangouts/Chat,C#,Windows,,United States
Respondente_221,Yes,Yes,52617.6,Office / productivity suite ,Assembly,Windows,"5,000 to 9,999 employees",India
Respondente_222,No,Yes,11200000.0,Jira,Java,Windows,100 to 499 employees,United States
Respondente_223,Yes,Yes,514046.39999999997,Confluence,Groovy,Windows,Fewer than 10 employees,Canada
Respondente_224,No,Yes,135273.6,Slack,C++,Windows,20 to 99 employees,Canada
Respondente_225,No,Yes,0.0,nan,JavaScript,Windows,20 to 99 employees,Greece
Respondente_226,Yes,Yes,0.0,nan,C,Windows,,Philippines
Respondente_227,No,Yes,137076.8,Slack,Groovy,Windows,100 to 499 employees,Spain
Respondente_228,Yes,Yes,0.0,nan,Assembly,MacOS,,United Arab Emirates
Respondente_229,No,Yes,0.0,nan,Assembly,Windows,20 to 99 employees,Lebanon
Respondente_230,No,Yes,272249.6,Office / productivity suite ,C#,Windows,Fewer than 10 employees,United Kingdom
Respondente_231,No,Yes,0.0,nan,PHP,Windows,"10,000 or more employees",Philippines
Respondente_232,Yes,Yes,499889.6,Office / productivity suite ,C#,Windows,,Norway
Respondente_233,No,Yes,35548.799999999996,nan,SQL,Linux-based,20 to 99 employees,Poland
Respondente_234,No,Yes,219318.4,Jira,JavaScript,MacOS,20 to 99 employees,Spain
Respondente_235,Yes,No,95950.4,Slack,nan,,10 to 19 employees,United Kingdom
Respondente_236,Yes,No,0.0,Other chat system ,C,Windows,,Bolivia
Respondente_237,Yes,Yes,6316800.0,Google Hangouts/Chat,C#,Windows,"1,000 to 4,999 employees",United States
Respondente_238,Yes,Yes,397516.0,Google Hangouts/Chat,C#,Windows,20 to 99 employees,Netherlands
Respondente_239,No,No,0.0,Office / productivity suite ,Java,Windows,500 to 999 employees,United States
Respondente_240,Yes,Yes,0.0,nan,JavaScript,Linux-based,Fewer than 10 employees,India
Respondente_241,No,No,576240.0,Office / productivity suite ,JavaScript,Windows,500 to 999 employees,South Africa
Respondente_242,No,No,711200.0,Confluence,C++,Windows,"10,000 or more employees",United States
Respondente_243,No,Yes,271420.8,Jira,C,Windows,"10,000 or more employees",France
Respondente_244,Yes,Yes,4107129.5999999996,Jira,nan,,,United Kingdom
Respondente_245,No,Yes,0.0,nan,nan,,,South Africa
Respondente_246,No,Yes,296419.19999999995,Confluence,Java,Windows,"1,000 to 4,999 employees",Poland
Respondente_247,Yes,Yes,168000.0,Confluence,JavaScript,Linux-based,100 to 499 employees,Ukraine
Respondente_248,Yes,Yes,41126.399999999994,nan,Haskell,Linux-based,,Portugal
Respondente_249,No,Yes,0.0,nan,nan,,,Estonia
Respondente_250,No,Yes,1731542.4,Google Hangouts/Chat,C#,MacOS,Fewer than 10 employees,Canada
Respondente_251,Yes,Yes,126335.99999999999,Google Hangouts/Chat,C,MacOS,Fewer than 10 employees,Mexico
Respondente_252,No,Yes,0.0,nan,nan,,100 to 499 employees,United Kingdom
Respondente_253,Yes,Yes,1120000.0,Facebook,Java,MacOS,,United States
Respondente_254,Yes,Yes,475999.99999999994,Google Hangouts/Chat,C#,Windows,"1,000 to 4,999 employees",United States
Respondente_255,Yes,Yes,30239.999999999996,Google Hangouts/Chat,C#,Linux-based,Fewer than 10 employees,India
Respondente_256,Yes,No,414400.0,Jira,JavaScript,Linux-based,Fewer than 10 employees,United States
Respondente_257,Yes,Yes,193804.8,Slack,JavaScript,MacOS,10 to 19 employees,South Africa
Respondente_258,No,Yes,0.0,nan,nan,,,Canada
Respondente_259,No,Yes,475999.99999999994,Jira,CoffeeScript,MacOS,"1,000 to 4,999 employees",United States
Respondente_260,Yes,Yes,443380.0,Confluence,Java,MacOS,500 to 999 employees,United Kingdom
Respondente_261,No,Yes,0.0,nan,C,Windows,100 to 499 employees,China
Respondente_262,No,Yes,0.0,nan,C,,10 to 19 employees,United Kingdom
Respondente_263,No,Yes,0.0,nan,nan,,,Netherlands
Respondente_264,No,Yes,560000.0,Confluence,JavaScript,Linux-based,20 to 99 employees,United States
Respondente_265,No,Yes,0.0,nan,nan,Windows,,Slovenia
Respondente_266,Yes,Yes,166560.8,Confluence,JavaScript,MacOS,"10,000 or more employees",India
Respondente_267,Yes,Yes,548296.0,Confluence,Groovy,Linux-based,500 to 999 employees,Germany
Respondente_268,No,Yes,0.0,nan,C,Windows,,Turkey
Respondente_269,No,Yes,0.0,nan,Java,MacOS,Fewer than 10 employees,India
Respondente_270,No,Yes,487199.99999999994,Confluence,Java,Windows,100 to 499 employees,United States
Respondente_271,No,Yes,364000.0,Google Hangouts/Chat,JavaScript,Linux-based,20 to 99 employees,United States
Respondente_272,Yes,Yes,453600.0,Slack,C,Linux-based,"1,000 to 4,999 employees",United States
Respondente_273,Yes,Yes,123379.2,Slack,CoffeeScript,Linux-based,"10,000 or more employees",Germany
Respondente_274,No,No,0.0,nan,nan,,,United Kingdom
Respondente_275,No,Yes,296800.0,Office / productivity suite ,JavaScript,Windows,"1,000 to 4,999 employees",United States
Respondente_276,Yes,Yes,266784.0,Google Hangouts/Chat,Go,Linux-based,20 to 99 employees,Hungary
Respondente_277,No,No,10684.8,nan,C#,Windows,Fewer than 10 employees,Turkey
Respondente_278,No,No,503999.99999999994,Slack,C,MacOS,Fewer than 10 employees,United States
Respondente_279,No,No,0.0,nan,nan,,,Germany
Respondente_280,Yes,Yes,215891.19999999998,Slack,Java,MacOS,20 to 99 employees,Spain
Respondente_281,Yes,Yes,0.0,nan,nan,,100 to 499 employees,United States
Respondente_282,Yes,Yes,43831.2,nan,C,Linux-based,,India
Respondente_283,Yes,Yes,61364.799999999996,Jira,JavaScript,Windows,20 to 99 employees,India
Respondente_284,No,Yes,380800.0,Confluence,Groovy,MacOS,"1,000 to 4,999 employees",United States
Respondente_285,No,Yes,672000.0,Confluence,C#,Windows,500 to 999 employees,United States
Respondente_286,No,No,205609.59999999998,Office / productivity suite ,JavaScript,MacOS,Fewer than 10 employees,Ireland
Respondente_287,Yes,No,0.0,nan,C,MacOS,10 to 19 employees,Colombia
Respondente_288,No,Yes,17808.0,Trello,PHP,MacOS,Fewer than 10 employees,Russian Federation
Respondente_289,No,Yes,35683.2,nan,C,Linux-based,100 to 499 employees,Russian Federation
Respondente_290,Yes,Yes,840000.0,Confluence,C,Linux-based,100 to 499 employees,United States
Respondente_291,Yes,Yes,0.0,nan,nan,,,Germany
Respondente_292,No,Yes,466715.19999999995,Confluence,C#,Windows,"1,000 to 4,999 employees",United Kingdom
Respondente_293,Yes,Yes,15791.999999999998,Google Hangouts/Chat,C,Windows,,Poland
Respondente_294,Yes,Yes,42067.2,Google Hangouts/Chat,C,Windows,100 to 499 employees,India
Respondente_295,Yes,Yes,0.0,nan,Haskell,MacOS,,United Kingdom
Respondente_296,Yes,Yes,0.0,nan,nan,,,"Iran, Islamic Republic of..."
Respondente_297,No,Yes,0.0,nan,Swift,MacOS,10 to 19 employees,Nepal
Respondente_298,No,Yes,588000.0,Office / productivity suite ,C,Windows,20 to 99 employees,United States
Respondente_299,Yes,Yes,972327.9999999999,Jira,Java,MacOS,,United Kingdom
Respondente_300,Yes,Yes,279619.19999999995,Facebook,C#,MacOS,100 to 499 employees,Belgium
Respondente_301,Yes,Yes,0.0,Office / productivity suite ,nan,,500 to 999 employees,Viet Nam
Respondente_302,No,No,0.0,nan,nan,,,
Respondente_303,Yes,Yes,311147.19999999995,Google Hangouts/Chat,C,Linux-based,20 to 99 employees,United Kingdom
Respondente_304,No,Yes,0.0,nan,C,Linux-based,,Norway
Respondente_305,No,Yes,0.0,Google Hangouts/Chat,JavaScript,MacOS,Fewer than 10 employees,Peru
Respondente_306,Yes,Yes,841612.7999999999,Facebook,C++,MacOS,100 to 499 employees,India
Respondente_307,No,No,0.0,nan,VB.NET,Windows,20 to 99 employees,Belgium
